1,
74,0,0,100
40,0,0,50
84,0,0,150
97,0,0,50
73,0,0,250
150,0,0,300
102,0,0,200
23,0,0,260
66,0,0,120
182,0,0,600
90,0,0,200
268,0,0,600
67,0,0,150
33,0,0,3000
271,0,0,800
98,0,0,300
196,0,0,800
50,0,0,120
154,0,0,300
49,0,0,50
194,0,0,800
139,0,0,3000
65,0,0,100
158,0,0,500
197,0,0,2000
265,0,0,800
137,0,0,3000
188,0,0,400
22,0,0,180
259,0,0,800
19,0,0,0
263,0,0,800
53,0,0,40
109,0,0,3000
199,0,0,2000
181,0,0,3000
15,0,0,0
70,0,0,50
185,0,0,1400
68,0,0,100
264,0,0,600
24,0,0,110
41,0,0,60
144,0,0,700
18,0,0,0
113,0,0,300
52,0,0,80
220,0,0,600
189,0,0,300
71,0,0,50
223,0,0,300
222,0,0,800
193,0,0,600
224,0,0,400
20,0,0,120
262,0,0,800
5,0,0,300
146,0,0,4000
92,0,0,100
191,0,0,600
157,0,0,500
105,0,0,3000
101,0,0,100
9,0,0,4000
77,0,0,200
78,0,0,120
140,0,0,600
225,0,0,300
93,0,0,150
94,0,0,60
145,0,0,800
6,0,0,3000
75,0,0,100
82,0,0,150
138,0,0,3000
153,0,0,600
260,0,0,600
227,0,0,300
184,0,0,800
269,0,0,2000
11,0,0,4000
267,0,0,600
29,0,0,300
34,0,0,1000
91,0,0,50
148,0,0,400
56,0,0,80
79,0,0,120
8,0,0,4000
55,0,0,175
3,0,0,6000
0,0,0,0
149,0,0,300
142,0,0,600
195,0,0,600
96,0,0,50
180,0,0,3000
108,0,0,200
186,0,0,800
221,0,0,400
62,0,0,50
83,0,0,100
261,0,0,1000
17,0,0,0
192,0,0,800
226,0,0,200
112,0,0,2000
147,0,0,2400
2,0,0,12000
179,0,0,300
27,0,0,160
110,0,0,200
32,0,0,1500
59,0,0,245
107,0,0,3000
106,0,0,2500
4,0,0,4000
155,0,0,600
161,0,0,200
270,0,0,800
187,0,0,2000
266,0,0,800
141,0,0,600
156,0,0,300
16,0,0,0
81,0,0,400
198,0,0,600
44,0,0,300
95,0,0,2500
143,0,0,600
99,0,0,200
10,0,0,6000
207,0,0,2000
111,0,0,200
190,0,0,400
121,0,0,100
